year;date;time;y;x;type;injured;died
2021;1.1.2021;0:15:00;;;БЛЪСКАНЕ В ПРЕДПАЗНА ОГРАДА;не;не
2021;1.1.2021;2:40:00;42,55073;27,47621;БЛЪСКАНЕ В КРАЙПЪТНО СЪОРЪЖЕНИЕ;да;не
2021;3.1.2021;5:45:00;;;БЛЪСКАНЕ В КРАЙПЪТНО СЪОРЪЖЕНИЕ;да;не
2021;31.1.2021;23:00:00;42,70406;27,25484;БЛЪСКАНЕ В КРАЙПЪТНО СЪОРЪЖЕНИЕ;не;не
2021;23.8.2021;15:08:00;42,49743;27,46837;БЛЪСКАНЕ НА ПЕШЕХОДЕЦ;да;не
2021;23.8.2021;15:08:00;42,49743;27,46837;БЛЪСКАНЕ НА ПЕШЕХОДЕЦ;не;не
2021;23.8.2021;17:10:00;42,66184;26,97259;БЛЪСКАНЕ В КРАЙПЪТНО СЪОРЪЖЕНИЕ;не;не
2021;21.8.2021;16:45:00;;;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;23.8.2021;21:00:00;42,69984;27,24817;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;23.8.2021;21:00:00;42,69984;27,24817;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;24.8.2021;9:40:00;;;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;24.8.2021;9:40:00;;;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;24.8.2021;10:55:00;42,69979;27,26667;БЛЪСКАНЕ В СТЪЛБ;не;не
2021;24.8.2021;14:46:00;42,51315;27,46454;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;24.8.2021;14:46:00;42,51315;27,46454;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;24.8.2021;16:40:00;42,65084;26,97803;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;24.8.2021;16:40:00;42,65084;26,97803;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;да;не
2021;24.8.2021;13:00:00;;;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;24.8.2021;13:00:00;;;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;24.8.2021;13:00:00;;;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;24.8.2021;13:00:00;;;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;24.8.2021;13:00:00;;;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;25.8.2021;7:53:00;42,62516;27,34598;ПРЕОБРЪЩАНЕ НА МПС ИЗВЪН ПЪТНОТО ПЛАТНО;да;не
2021;1.2.2021;21:00:00;42,53703;27,47163;БЛЪСКАНЕ В ПРЕПЯТСТВИЕ НА ПЪТЯ;не;не
2021;25.8.2021;10:25:00;42,58765;27,22174;ДРУГ ВИД ПТП;не;не
2021;25.8.2021;10:41:00;42,51586;27,4622;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;25.8.2021;10:41:00;42,51586;27,4622;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
